"name","label","description","content","from","to","begin","end","cats"
"relation.ident.Demetris_Cheatham__Chief of Staff__ident.github","Chief of Staff","","[]","ident.Demetris_Cheatham","ident.github","","","other"
"relation.ident.Thomas_Dohmke__CEO__ident.github","CEO","","[]","ident.Thomas_Dohmke","ident.github","2021-11-01","","other"
"relation.ident.Satya_Nadella__worked__ident.sun","worked","","[]","ident.Satya_Nadella","ident.sun","","2014-01-01","other"
"relation.ident.Satya_Nadella__CEO__ident.microsoft","CEO","","[]","ident.Satya_Nadella","ident.microsoft","2014-02-04","","other"
"relation.ident.microsoft__Buy__ident.github","Buy","","[]","ident.microsoft","ident.github","2018-10-26","",""
